,min,squad,g+a_1,crdr,starts,pk,g-pk,ast,g-pk_1,crdy,mp,g+a-pk,gls_1,gls,player,g+a,ast_1
168,190,Finland,0.00,0,2,0,0,0,0.00,0,4,0.00,0.00,0,Anssi Tapio Suhonen,0,0.00
169,46,Spain,0.0,0,0,0,0,0,0.0,0,2,0.0,0.0,0,Ansu Fati,0,0.0
170,55,Croatia,0.0,0,0,0,0,0,0.0,0,2,0.0,0.0,0,Ante Budimir,0,0.0
171,125,Costa Rica,0.0,0,2,0,0,0,0.0,1,3,0.0,0.0,0,Anthony Contreras,0,0.0
172,8,Sweden,11.25,0,0,0,1,0,11.25,0,2,11.25,11.25,1,Anthony Elanga,1,0.00
173,990,Luxembourg,0.00,0,11,0,0,0,0.00,2,11,0.00,0.00,0,Anthony Moris,0,0.00
174,12,Scotland,0.00,0,0,0,0,0,0.00,0,1,0.00,0.00,0,Anthony Ralston,0,0.00
175,537,France,0.5,0,6,0,0,3,0.0,1,7,0.5,0.0,0,Antoine Griezmann,3,0.5
176,20,Ghana,0.0,0,0,0,0,0,0.0,0,2,0.0,0.0,0,Antoine Semenyo,0,0.0
177,630,Azerbaijan,0.14,0,6,0,1,0,0.14,2,8,0.14,0.14,1,Anton Krivotsyuk,1,0.00
178,90,Bulgaria,0.00,0,1,0,0,0,0.00,0,1,0.00,0.00,0,Anton Nedyalkov,0,0.00
179,359,United States,0.0,0,4,0,0,0,0.0,0,4,0.0,0.0,0,Antonee Robinson,0,0.0
180,360,Latvia,0.00,0,4,0,0,0,0.00,1,4,0.00,0.00,0,Antonijs Černomordijs,0,0.00
181,130,Norway,2.08,0,1,0,0,3,0.00,0,3,2.08,0.00,0,Antonio Nusa,3,2.08
182,270,Germany,0.0,0,3,0,0,0,0.0,0,3,0.0,0.0,0,Antonio Rüdiger,0,0.0
183,172,Brazil,0.0,0,1,0,0,0,0.0,0,4,0.0,0.0,0,Antony,0,0.0
184,92,Czechia,0.00,0,1,0,0,0,0.00,0,2,0.00,0.00,0,Antonín Barák,0,0.00
185,487,Cyprus,0.00,0,6,0,0,0,0.00,3,6,0.00,0.00,0,Antreas Karo,0,0.00
186,90,Portugal,0.0,0,1,0,0,0,0.0,0,1,0.0,0.0,0,António Silva,0,0.0
187,118,Georgia,0.00,0,0,0,0,0,0.00,0,5,0.00,0.00,0,Anzor Mekvabishvili,0,0.00
188,171,Japan,0.53,0,2,0,1,0,0.53,0,3,0.53,0.53,1,Ao Tanaka,1,0.0
189,86,Kosovo,0.00,0,1,0,0,0,0.00,0,2,0.00,0.00,0,Arber Zeneli,0,0.00
190,30,Albania,0.00,0,0,0,0,0,0.00,0,1,0.00,0.00,0,Arbnor Mucolli,0,0.00
191,80,Albania,0.00,0,0,0,0,0,0.00,1,4,0.00,0.00,0,Arbnor Muja,0,0.00
192,343,Belarus,0.00,0,4,0,0,0,0.00,0,6,0.00,0.00,0,Arciom Kancavy,0,0.00
193,124,Türkiye,0.73,0,1,0,1,0,0.73,0,3,0.73,0.73,1,Arda Güler,1,0.00
194,540,Albania,0.00,0,6,0,0,0,0.00,1,6,0.00,0.00,0,Ardian Ismajli,0,0.00
195,2,Switzerland,0.0,0,0,0,0,0,0.0,0,1,0.0,0.0,0,Ardon Jashari,0,0.0
196,193,N. Macedonia,0.00,0,3,0,0,0,0.00,1,4,0.00,0.00,0,Arijan Ademi,0,0.00
197,720,Kosovo,0.00,0,8,0,0,0,0.00,1,8,0.00,0.00,0,Arijanet Muric,0,0.00
198,101,Poland,0.0,0,1,0,0,0,0.0,1,3,0.0,0.0,0,Arkadiusz Milik,0,0.0
